id,vendor,model,model_year,vin
1,Ford,Escort,1991,WBAVL1C54DV498493
2,Lexus,SC,2003,JN1BJ0HP6DM502973
3,Honda,Ridgeline,2006,WAUWFAFH3DN726808
4,Infiniti,Q,2004,3LNDL2L37BR172826
5,Chevrolet,Silverado 2500,1999,WA1EV74L78D943327
6,Toyota,RAV4,2009,KNDKG3A2XA7563295
7,Pontiac,Bonneville,2005,WBAUC9C57DV556901
8,Pontiac,Tempest,1965,3C4PDCBB3ET977081
9,Subaru,Legacy,2010,1D7RV1GP7AS321157
10,Geo,Tracker,1993,SAJWJ0FFXF8262297
11,Infiniti,QX,2003,WAUEH48H17K895140
12,Mercury,Grand Marquis,1997,WBAFA53521L074142
13,Land Rover,Range Rover,2002,KM8JT3AC9AU562622
14,GMC,2500,1999,4JGCB2FE9CA630566
15,Lincoln,Continental,1999,WAUHFBFL1AN140817
16,Ford,Fairlane,1967,WA1VMAFP3FA110316
17,Ferrari,599 GTB Fiorano,2007,3MZBM1U79EM648030
18,Mercury,Grand Marquis,2007,WBADT33411G003410
19,Volkswagen,Jetta,1992,1G4GE5EVXAF151343
20,Infiniti,FX,2009,1D7RE3GK6AS612653
21,Toyota,Land Cruiser,1998,2C3CCAGG3CH263181
22,Ford,Crown Victoria,1997,2LMDJ6JK4CB199980
23,Ford,Ranger,2002,WA1MYAFE2AD928707
24,Volkswagen,Passat,1990,1FM5K7B81EG002973
25,Mazda,MX-6,1989,WAULC58E85A089672
26,Toyota,Celica,1993,1FTNS1EW4AD945544
27,Toyota,MR2,2002,WA1CGAFE9ED334782
28,Ferrari,599 GTB Fiorano,2007,WBAYE0C58ED021848
29,Pontiac,6000,1990,WAUDH68D61A661058
30,Scion,tC,2006,1B3CB1HA3AD967742
31,Toyota,Echo,2005,SCBZB25E42C844029
32,Chrysler,300,2008,5GADV33W17D401212
33,Oldsmobile,Silhouette,1995,WAUVFAFR2AA533928
34,Jeep,Wrangler,2011,3C4PDDAG8ET377756
35,Hyundai,Sonata,1993,1G4CU541X24891942
36,Infiniti,G35,2004,WBAFV3C50FD160351
37,Oldsmobile,Toronado,1966,WA1LFBFP2DA011944
38,Suzuki,Grand Vitara,1999,WBAGN83544D184067
39,Ford,Mustang,1995,WAULT64B13N711293
40,Chevrolet,Tahoe,2008,1FTEX1CM4DK848735
41,Land Rover,Range Rover Evoque,2012,WBAEN33434P563481
42,Mazda,CX-5,2013,WDDEJ7EB8EA076482
43,Lexus,LX,2002,5FPYK1F25CB585456
44,Audi,A3,2011,1G6AB1RX9F0630311
45,Volvo,C30,2013,WAUKG68E95A851199
46,Lexus,LX,1996,WAUSH98E07A397040
47,Pontiac,GTO,2006,WBAKF3C58CJ728385
48,Mazda,MPV,1996,WA1YD54B72N878833
49,Mitsubishi,Mighty Max,1994,1GT020CGXEF777678
50,GMC,Canyon,2008,5GADX33L05D896371
51,Buick,Electra,1987,1GD22ZCG1DZ739701
52,Mercedes-Benz,R-Class,2010,YV440MBD9F1418033
53,Nissan,Titan,2008,3GYVKLEF6AG361657
54,Ford,Festiva,1988,1G6DE1E38E0615014
55,BMW,X6,2013,JH4CL969X5C124814
56,Chevrolet,2500,1992,WA1AV74L59D639395
57,Ford,Expedition,2007,4T1BF1FK4DU698483
58,Lincoln,Aviator,2004,WBAUN9C54AV417475
59,Mercury,Tracer,1988,WVGAV7AX3FW192607
60,Infiniti,Q,2001,WBADR634X3G800645
61,GMC,Envoy,2006,WAUEH48H67K539797
62,Chevrolet,G-Series 2500,1997,1FT7W2A6XEE020971
